 Sharkfin,1000000111,3468.6833,"{'2559.9349600': -0.07614227195358277, '3839.9024400': -0.6937366555079777}"
 RiskReversal,1000000112,1742.8164,{'3839.9024400': -0.03485632700042152}
 Sharkfin,1000000113,3547.208,"{'2559.9349600': -0.30216512226756054, '3839.9024400': -0.7094416004499956}"
 Straddle,1000000114,18679.7124,"{'2559.9349600': -0.3735942470929515, '3839.9024400': -0.08628593939642615}"
 Strangle,1000000115,1849.979,"{'2559.9349600': -0.032661083777072906, '3839.9024400': -0.03699958023029061}"
 DoubleSharkfin,1000000116,90,"{'2559.9349600': 0.0, '3839.9024400': 0.0}"
 RiskyUncapped,1000000117,50,{'3839.9024400': 0.010919104385154395}
 ExoticDoubleSharkfin,1000000118,32928.3558,"{'2559.9349600': -0.6585671168883418, '2591.9341470000000000000000': -0.6542813714238249, '2623.9333340000000000000000': -0.6500712783647395, '2655.9325210000000000000000': -0.6473995275515825, '2687.9317080000000000000000': -0.6437331211793249, '2719.9308950000000000000000': -0.6401849159314152, '2751.9300820000000000000000': -0.6373890318223744, '2783.9292690000000000000000': -0.635472615003154, '2815.9284560000000000000000': -0.6328712914641873, '2847.9276430000000000000000': -0.6303549900700928, '2879.9268300000000000000000': -0.6276866513780147, '2911.9260170000000000000000': -0.6236386652403146, '2943.9252040000000000000000': -0.6222345730409486, '2975.9243910000000000000000': -0.6203590613980209, '3007.9235780000000000000000': -0.6216340891133142, '3039.9227650000000000000000': -0.623176641683358, '3071.9219520000000000000000': -0.6194316443995981, '3103.9211390000000000000000': -0.6168591433852025, '3135.9203260000000000000000': -0.6151547427143031, '3167.9195130000000000000000': -0.6150507157869299, '3199.9187000000000000000000': -0.614520525767834, '3231.9178870000000000000000': -0.6130632422205087, '3263.9170740000000000000000': -0.614244462549551, '3295.9162610000000000000000': -0.6124813614686133, '3327.9154480000000000000000': -0.6102446548429677, '3359.9146350000000000000000': -0.6097950198262337, '3391.9138220000000000000000': -0.6089172612594711, '3423.9130090000000000000000': -0.6070019456514404, '3455.9121960000000000000000': -0.6059078240904846, '3487.9113830000000000000000': -0.6043490868025153, '3519.9105700000000000000000': -0.604366102618396, '3551.9097570000000000000000': -0.6056347309695463, '3583.9089440000000000000000': -0.6071832534220831, '3615.9081310000000000000000': -0.6078447205253632, '3647.9073180000000000000000': -0.608716950688406, '3679.9065050000000000000000': -0.6087930385658185, '3711.9056920000000000000000': -0.6076263859056614, '3743.9048790000000000000000': -0.6079760959068302, '3775.9040660000000000000000': -0.6094203440951877, '3807.9032530000000000000000': -0.6113037503240651, '3839.9024400': -0.6133942111489741}"
 RiskyProtected,1000000119,50,{'3839.9024400': 0.01135678811997115}
 AutocallOut,1000000120,4.5,"{'2682.6494400': 0.0, '4023.9741600': 0.0}"
 BinaryOption,1000000121,23574.5084,{'3839.9024400': -0.47149016890702594}
 BinaryOption,1000000122,54393.9118,{'2559.9349600': -1.0878782361018415}
 AutocallSnowball,1000000123,320.9127,"{'2559.9349600': 0.12452571219728444, '3839.9024400': -0.0641825301372938}"
 OneTouch,1000000124,50,"{'2559.9349600': 0.0, '3839.9024400': 0.0}"
 OneTouch,1000000125,50,"{'2559.9349600': 0.0, '3839.9024400': 0.0}"
 AutocallProtected,1000000126,719.8992,"{'2682.6494400': -0.01867872926555171, '4023.9741600': -0.07198992485127495}"
 PhoenixAutocall,1000000127,91035.3132,"{'2559.9349600': -9.103531316444911, '3839.9024400': 0.0}"
 RangeAccrual,1000000128,44852.2977,"{'2559.9349600': -0.8970459545164239, '3839.9024400': -0.8970459545164239}"
 AirBag,1000000129,9265.8745,"{'2559.9349600': 0.23492548062092142, '3839.9024400': -0.09265874547069369}"
